year,theme_id,theme_label,company_years,presence_rate,mean_matches_per_10k_words,median_matches_per_10k_words,total_matches
2021,health_safety_and_wellbeing,"Health, safety, and wellbeing",48,1.0,12.486057,11.630395,3224
2021,innovation_and_excellence,Innovation and excellence,48,0.958333,3.72615,3.34313,1013
2021,integrity_and_ethics,Integrity and ethics,48,1.0,6.74165,6.513983,1773
2021,leadership_and_accountability,Leadership and accountability,48,1.0,25.28177,22.749848,6754
2021,purpose_and_identity,Purpose and identity,48,0.833333,1.109727,0.833472,296
2021,shareholders_and_performance,Shareholders and performance,48,1.0,39.57867,46.258768,9839
2021,social_impact_and_community,Social impact and community,48,0.958333,5.82961,4.476772,1574
2022,collaboration_and_partnership,Collaboration and partnership,48,1.0,3.484231,3.14925,999
2022,customers_and_service,Customers and service,48,1.0,17.208748,16.327609,4929
2022,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",48,1.0,30.140442,29.533968,8582
2022,employees_and_workplace,Employees and workplace,48,1.0,31.877152,30.706977,9153
2022,environment_and_sustainability,Environment and sustainability,48,1.0,20.521803,15.607804,5677
2022,health_safety_and_wellbeing,"Health, safety, and wellbeing",48,1.0,12.949174,10.622167,3651
2022,innovation_and_excellence,Innovation and excellence,48,0.958333,4.200353,3.274546,1204
2022,integrity_and_ethics,Integrity and ethics,48,1.0,7.177823,6.467109,2020
2022,leadership_and_accountability,Leadership and accountability,48,1.0,25.27594,24.688707,7100
2022,purpose_and_identity,Purpose and identity,48,0.791667,0.956278,0.627588,272
2022,shareholders_and_performance,Shareholders and performance,48,1.0,38.018313,45.668562,9924
2022,social_impact_and_community,Social impact and community,48,1.0,5.094861,3.740689,1541
2023,collaboration_and_partnership,Collaboration and partnership,49,1.0,3.191724,2.995037,926
2023,customers_and_service,Customers and service,49,1.0,18.042231,17.115295,5325
2023,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",49,1.0,31.036031,28.831638,8735
2023,employees_and_workplace,Employees and workplace,49,1.0,28.599611,27.406646,8340
2023,environment_and_sustainability,Environment and sustainability,49,1.0,22.443118,18.115614,6511
2023,health_safety_and_wellbeing,"Health, safety, and wellbeing",49,1.0,13.040155,10.602062,3668
2023,innovation_and_excellence,Innovation and excellence,49,1.0,4.800697,4.00808,1378
2023,integrity_and_ethics,Integrity and ethics,49,1.0,7.792606,7.31548,2216
2023,leadership_and_accountability,Leadership and accountability,49,1.0,26.617777,23.96056,7646
2023,purpose_and_identity,Purpose and identity,49,0.857143,1.211772,0.742446,342
2023,shareholders_and_performance,Shareholders and performance,49,1.0,42.343602,50.980998,11422
2023,social_impact_and_community,Social impact and community,49,1.0,4.71161,3.95971,1406
2024,collaboration_and_partnership,Collaboration and partnership,48,1.0,3.474886,3.053353,998
2024,customers_and_service,Customers and service,48,1.0,18.10631,17.58451,5206
2024,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",48,1.0,28.274601,25.05954,7767
2024,employees_and_workplace,Employees and workplace,48,1.0,29.026128,27.900283,8196
2024,environment_and_sustainability,Environment and sustainability,48,1.0,22.140092,18.0707,6130
2024,health_safety_and_wellbeing,"Health, safety, and wellbeing",48,1.0,13.238301,11.170223,3575
2024,innovation_and_excellence,Innovation and excellence,48,0.979167,5.443833,4.432675,1495
2024,integrity_and_ethics,Integrity and ethics,48,1.0,8.04759,7.255034,2205
2024,leadership_and_accountability,Leadership and accountability,48,1.0,26.945852,25.079802,7587
2024,purpose_and_identity,Purpose and identity,48,0.895833,1.201464,0.640821,343
2024,shareholders_and_performance,Shareholders and performance,48,1.0,39.992687,47.903117,11258
2024,social_impact_and_community,Social impact and community,48,1.0,4.191232,3.195271,1238
