ticker,company_name,sector,theme_id,theme_label,prior_year,year,prior_rate_per_10k_words,rate_per_10k_words,change_per_10k_words,absolute_change_per_10k_words
BRK.B,Berkshire Hathaway,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2023,2024,5.764427,20.374143,14.609716,14.609716
MDT,Medtronic,Healthcare,employees_and_workplace,Employees and workplace,2023,2024,38.658117,24.103009,-14.555109,14.555109
TMO,Thermo Fisher Scientific,Healthcare,shareholders_and_performance,Shareholders and performance,2021,2022,68.593615,54.039138,-14.554477,14.554477
LOW,Lowe's,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2017,2018,18.898863,4.362407,-14.536456,14.536456
BAC,Bank of America,Financials,leadership_and_accountability,Leadership and accountability,2019,2020,35.110118,49.614204,14.504086,14.504086
MRK,Merck,Healthcare,leadership_and_accountability,Leadership and accountability,2016,2017,37.516749,23.030174,-14.486575,14.486575
BRK.B,Berkshire Hathaway,Financials,employees_and_workplace,Employees and workplace,2017,2018,6.623613,21.068599,14.444986,14.444986
INTC,Intel,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2022,2023,58.409679,44.100065,-14.309613,14.309613
JPM,JPMorgan Chase,Financials,customers_and_service,Customers and service,2016,2017,43.155915,28.905795,-14.250119,14.250119
HD,Home Depot,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2021,2022,62.78937,48.652581,-14.136789,14.136789
IBM,IBM,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2020,2021,20.794784,34.919104,14.12432,14.12432
JPM,JPMorgan Chase,Financials,environment_and_sustainability,Environment and sustainability,2019,2020,8.921299,23.035759,14.11446,14.11446
ABBV,AbbVie,Healthcare,employees_and_workplace,Employees and workplace,2021,2022,44.50385,30.407836,-14.096014,14.096014
SLB,SLB (Schlumberger),Energy,employees_and_workplace,Employees and workplace,2017,2018,37.232647,51.302454,14.069808,14.069808
WFC,Wells Fargo,Financials,shareholders_and_performance,Shareholders and performance,2018,2019,41.500551,27.445482,-14.055069,14.055069
JPM,JPMorgan Chase,Financials,environment_and_sustainability,Environment and sustainability,2021,2022,10.901591,24.934507,14.032916,14.032916
JPM,JPMorgan Chase,Financials,shareholders_and_performance,Shareholders and performance,2023,2024,72.593987,58.629776,-13.964211,13.964211
WFC,Wells Fargo,Financials,leadership_and_accountability,Leadership and accountability,2021,2022,50.570218,36.711698,-13.85852,13.85852
NVDA,NVIDIA,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2017,2018,31.188444,17.415863,-13.772581,13.772581
