ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
NVDA,2022,collected,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000067/nvda2022definitiveproxysta.htm,part2_lived_values/data/raw/filings/nvda_2022_000104581022000067.htm,1838040,2a9e7a488407487dfaf881be56182a84e14e33d0c3c408c0298796babab15c23,
NVDA,2023,collected,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000080/nvda-20230508.htm,part2_lived_values/data/raw/filings/nvda_2023_000104581023000080.htm,1643682,aff2b285c21925a9abb27c125be34ef21ddd3c7c6f7d843cbb7b9a1a6e9cddb6,
NVDA,2024,collected,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000104/nvda-20240514.htm,part2_lived_values/data/raw/filings/nvda_2024_000104581024000104.htm,1445548,1f287ce1420da3c54340308f48fe9553e0fc06f2db3ae730890cba574355dc3c,
GOOGL,2016,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817916000384/lgoog_def14a.htm,part2_lived_values/data/raw/filings/googl_2016_000130817916000384.htm,1038767,753ebc7d1a8848c38b3a9ce2f1ac41888208c3a451180454a878e180cbddd6ab,
GOOGL,2017,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817917000170/lgoog2017_def14a.htm,part2_lived_values/data/raw/filings/googl_2017_000130817917000170.htm,955056,38d7e6d3a1c5ca59c7853dcb21f9e9903270e8eed62b7131da2d80fe4a6ace61,
GOOGL,2018,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817918000222/lgoog2018-def14a.htm,part2_lived_values/data/raw/filings/googl_2018_000130817918000222.htm,1180119,556f43d69b960b186bbfeec222699a41012a22fa1566e059ac56878da2f0c181,
GOOGL,2019,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817919000205/lgoog2019_def14a.htm,part2_lived_values/data/raw/filings/googl_2019_000130817919000205.htm,915884,84460ef5f4be4db393356a8c97287403094cd7b4a93b9e05a1b5bf4a45ecbe2b,
GOOGL,2020,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817920000203/lgoog2020_def14a.htm,part2_lived_values/data/raw/filings/googl_2020_000130817920000203.htm,429194,10fb3aa71728ef69a333c7c219a877ff58f9ef2536b11afb33920d1110ee4fea,
GOOGL,2021,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817921000256/lgoog2021_def14a.htm,part2_lived_values/data/raw/filings/googl_2021_000130817921000256.htm,1051456,baae4b332755443c967d5730039b4d277659c3476d3522b1d21899c2774cacda,
GOOGL,2022,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817922000262/lgoog2022_def14a.htm,part2_lived_values/data/raw/filings/googl_2022_000130817922000262.htm,1599195,00a63719d3409ba8c3d26919900c437d84f8d8533ab733d31aba3dc8eb6e02c1,
GOOGL,2023,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817923000736/lgoog2023_def14a.htm,part2_lived_values/data/raw/filings/googl_2023_000130817923000736.htm,1574642,7d2d492e6b8cf411209469e82399c59aef4ac0e25c8110db0d7a56bea9177ef1,
GOOGL,2024,collected,https://www.sec.gov/Archives/edgar/data/1652044/000130817924000612/lgoog2024_def14a.htm,part2_lived_values/data/raw/filings/googl_2024_000130817924000612.htm,1423553,ac378061308e9ef3f0075620f9f379119e2e1011142df6139b518d86ac9032af,
META,2016,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000074/facebook2016definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2016_000132680116000074.htm,2083934,e0d52787f3058533f4273f45bca981b469384fb5e847d622b178711703af4083,
META,2017,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000016/facebook2017definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2017_000132680117000016.htm,863271,0a6b1b58869cc0f4f9ba1178dbd5a5949b17ff153e9e77544e08eaa2524b209f,
META,2018,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000022/facebook2018definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2018_000132680118000022.htm,902118,0a40df4c072d2b3cdf877dd619f6503ada925e26d7b48b55311e46276988c9bd,
META,2019,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000025/facebook2019definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2019_000132680119000025.htm,1033469,4ea30274a14278660f885a8dc251a1818d4779f0211551101f80b9e0e8a344c2,
META,2020,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000037/facebook2020definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2020_000132680120000037.htm,1130151,d087a8689ae60fde92923b0070aa373b9aefdcea50299ddfa79cfb00af47723c,
META,2021,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000022/facebook2021definitiveprox.htm,part2_lived_values/data/raw/filings/meta_2021_000132680121000022.htm,1225733,d04cdc20cd5fdd57efd0cfecd9f8874e639ea146da63ebd2b1d9ad6b2b01c656,
META,2022,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000043/meta2022definitiveproxysta.htm,part2_lived_values/data/raw/filings/meta_2022_000132680122000043.htm,1185219,36c9149296387411d5c93053923547e28d150b70fb313beec04cb950cae6cd46,
META,2023,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000050/meta-20230414.htm,part2_lived_values/data/raw/filings/meta_2023_000132680123000050.htm,1443351,0a3673d4c5d0f5a6a110f46ba231dee96d099e4d8f0d0f3bdcbc080a00ae5d30,
META,2024,collected,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000034/meta-20240418.htm,part2_lived_values/data/raw/filings/meta_2024_000132680124000034.htm,1718428,69d11403c7d8271b7c13f2fd62aaf92b722b4f8c2d2b0122701fb1022ce14aff,
AVGO,2016,missing,,,0,,no_def14a_filing_for_calendar_year
AVGO,2017,missing,,,0,,no_def14a_filing_for_calendar_year
AVGO,2018,missing,,,0,,no_def14a_filing_for_calendar_year
AVGO,2019,collected,https://www.sec.gov/Archives/edgar/data/1730168/000119312519043540/d676557ddef14a.htm,part2_lived_values/data/raw/filings/avgo_2019_000119312519043540.htm,1294887,2a232706ff263d2cbfb031ec3bb2906d6385db399d3e30275b05db975934695e,
AVGO,2020,collected,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000020/a2020proxystatement.htm,part2_lived_values/data/raw/filings/avgo_2020_000173016820000020.htm,1391152,c878a79731db779e518e992f64b03b3526736efc8f07a8b9b8263f38c18ac392,
AVGO,2021,collected,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000017/a2021proxystatement.htm,part2_lived_values/data/raw/filings/avgo_2021_000173016821000017.htm,1294638,88ac5f6e9e17427e790da555770b1e3565b05a5457084b2395e4335897c35746,
