ticker,cik,company_name,year,form,filing_date,report_date,accession_number,primary_document,source_url,sec_archive_url
NVDA,0001045810,NVIDIA,2023,DEF 14A,2023-05-08,,0001045810-23-000080,nvda-20230508.htm,https://data.sec.gov/submissions/CIK0001045810.json,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000080/nvda-20230508.htm
NVDA,0001045810,NVIDIA,2024,DEF 14A,2024-05-14,2024-06-26,0001045810-24-000104,nvda-20240514.htm,https://data.sec.gov/submissions/CIK0001045810.json,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000104/nvda-20240514.htm
GOOGL,0001652044,Alphabet,2016,DEF 14A,2016-04-29,2016-04-29,0001308179-16-000384,lgoog_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817916000384/lgoog_def14a.htm
GOOGL,0001652044,Alphabet,2017,DEF 14A,2017-04-28,2017-04-28,0001308179-17-000170,lgoog2017_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817917000170/lgoog2017_def14a.htm
GOOGL,0001652044,Alphabet,2018,DEF 14A,2018-04-27,2018-04-27,0001308179-18-000222,lgoog2018-def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817918000222/lgoog2018-def14a.htm
GOOGL,0001652044,Alphabet,2019,DEF 14A,2019-04-30,2019-06-19,0001308179-19-000205,lgoog2019_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817919000205/lgoog2019_def14a.htm
GOOGL,0001652044,Alphabet,2020,DEF 14A,2020-04-24,2020-06-03,0001308179-20-000203,lgoog2020_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817920000203/lgoog2020_def14a.htm
GOOGL,0001652044,Alphabet,2021,DEF 14A,2021-04-23,2021-06-02,0001308179-21-000256,lgoog2021_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817921000256/lgoog2021_def14a.htm
GOOGL,0001652044,Alphabet,2022,DEF 14A,2022-04-22,2022-06-01,0001308179-22-000262,lgoog2022_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817922000262/lgoog2022_def14a.htm
GOOGL,0001652044,Alphabet,2023,DEF 14A,2023-04-21,,0001308179-23-000736,lgoog2023_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817923000736/lgoog2023_def14a.htm
GOOGL,0001652044,Alphabet,2024,DEF 14A,2024-04-26,2024-06-07,0001308179-24-000612,lgoog2024_def14a.htm,https://data.sec.gov/submissions/CIK0001652044.json,https://www.sec.gov/Archives/edgar/data/1652044/000130817924000612/lgoog2024_def14a.htm
META,0001326801,Meta Platforms,2016,DEF 14A,2016-06-02,2016-06-20,0001326801-16-000074,facebook2016definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000074/facebook2016definitiveprox.htm
META,0001326801,Meta Platforms,2017,DEF 14A,2017-04-14,2017-06-01,0001326801-17-000016,facebook2017definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000016/facebook2017definitiveprox.htm
META,0001326801,Meta Platforms,2018,DEF 14A,2018-04-13,2018-05-31,0001326801-18-000022,facebook2018definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000022/facebook2018definitiveprox.htm
META,0001326801,Meta Platforms,2019,DEF 14A,2019-04-12,2019-05-30,0001326801-19-000025,facebook2019definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000025/facebook2019definitiveprox.htm
META,0001326801,Meta Platforms,2020,DEF 14A,2020-04-10,2020-05-27,0001326801-20-000037,facebook2020definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000037/facebook2020definitiveprox.htm
META,0001326801,Meta Platforms,2021,DEF 14A,2021-04-09,2021-05-26,0001326801-21-000022,facebook2021definitiveprox.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000022/facebook2021definitiveprox.htm
META,0001326801,Meta Platforms,2022,DEF 14A,2022-04-08,2021-12-31,0001326801-22-000043,meta2022definitiveproxysta.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000043/meta2022definitiveproxysta.htm
META,0001326801,Meta Platforms,2023,DEF 14A,2023-04-14,,0001326801-23-000050,meta-20230414.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000050/meta-20230414.htm
META,0001326801,Meta Platforms,2024,DEF 14A,2024-04-19,2023-12-31,0001326801-24-000034,meta-20240418.htm,https://data.sec.gov/submissions/CIK0001326801.json,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000034/meta-20240418.htm
AVGO,0001730168,Broadcom,2019,DEF 14A,2019-02-19,2019-04-01,0001193125-19-043540,d676557ddef14a.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000119312519043540/d676557ddef14a.htm
AVGO,0001730168,Broadcom,2020,DEF 14A,2020-02-18,2019-11-03,0001730168-20-000020,a2020proxystatement.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000020/a2020proxystatement.htm
AVGO,0001730168,Broadcom,2021,DEF 14A,2021-02-19,2020-11-01,0001730168-21-000017,a2021proxystatement.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000017/a2021proxystatement.htm
AVGO,0001730168,Broadcom,2022,DEF 14A,2022-02-18,2021-10-31,0001730168-22-000012,a2022proxystatement.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000012/a2022proxystatement.htm
AVGO,0001730168,Broadcom,2023,DEF 14A,2023-02-17,2023-04-03,0001140361-23-007640,ny20006245x500_def14a.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000114036123007640/ny20006245x500_def14a.htm
AVGO,0001730168,Broadcom,2024,DEF 14A,2024-02-26,2024-04-22,0001140361-24-009541,ny20015852x1_def14a.htm,https://data.sec.gov/submissions/CIK0001730168.json,https://www.sec.gov/Archives/edgar/data/1730168/000114036124009541/ny20015852x1_def14a.htm
CRM,0001108524,Salesforce,2016,DEF 14A,2016-04-21,2016-06-02,0001193125-16-550325,d27574ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312516550325/d27574ddef14a.htm
CRM,0001108524,Salesforce,2017,DEF 14A,2017-04-26,2017-06-06,0001193125-17-139646,d333785ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312517139646/d333785ddef14a.htm
CRM,0001108524,Salesforce,2018,DEF 14A,2018-05-02,2018-06-12,0001193125-18-148743,d491144ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312518148743/d491144ddef14a.htm
CRM,0001108524,Salesforce,2019,DEF 14A,2019-04-25,2019-06-06,0001193125-19-119702,d664082ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312519119702/d664082ddef14a.htm
CRM,0001108524,Salesforce,2020,DEF 14A,2020-05-01,2020-06-11,0001193125-20-131040,d861721ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312520131040/d861721ddef14a.htm
CRM,0001108524,Salesforce,2021,DEF 14A,2021-04-29,2021-06-10,0001193125-21-140350,d80344ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312521140350/d80344ddef14a.htm
CRM,0001108524,Salesforce,2022,DEF 14A,2022-04-28,2022-06-09,0001193125-22-127612,d301179ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312522127612/d301179ddef14a.htm
CRM,0001108524,Salesforce,2023,DEF 14A,2023-04-27,,0001193125-23-122123,d406753ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312523122123/d406753ddef14a.htm
CRM,0001108524,Salesforce,2024,DEF 14A,2024-05-16,2024-06-27,0001193125-24-140549,d26900ddef14a.htm,https://data.sec.gov/submissions/CIK0001108524.json,https://www.sec.gov/Archives/edgar/data/1108524/000119312524140549/d26900ddef14a.htm
ORCL,0001341439,Oracle,2016,DEF 14A,2016-09-23,2016-11-16,0001193125-16-718528,d234553ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312516718528/d234553ddef14a.htm
ORCL,0001341439,Oracle,2017,DEF 14A,2017-09-28,2017-11-15,0001193125-17-297858,d382058ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312517297858/d382058ddef14a.htm
ORCL,0001341439,Oracle,2018,DEF 14A,2018-09-26,2018-11-14,0001193125-18-283993,d623045ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312518283993/d623045ddef14a.htm
ORCL,0001341439,Oracle,2019,DEF 14A,2019-09-27,2019-11-19,0001193125-19-257430,d755300ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312519257430/d755300ddef14a.htm
ORCL,0001341439,Oracle,2020,DEF 14A,2020-09-18,2020-11-04,0001193125-20-249194,d78987ddef14a.htm,https://data.sec.gov/submissions/CIK0001341439.json,https://www.sec.gov/Archives/edgar/data/1341439/000119312520249194/d78987ddef14a.htm
