ticker,year,collection_status,raw_content_sha256,text_path,clean_text_sha256,extraction_quality,word_count,sentence_count,gap_reason
MSFT,2016,collected,5b2cf72f74ea9f1a5dde2109f590f39553ad328d4cc9e6f1ac953031da0a31ab,part2_lived_values/data/processed/text/msft_2016_000119312516740758.txt,c3d16cdb020bb28e1ff86bbbc7a40c568e41f85135ad568f639bd24a819110e1,usable,45088,4815,
MSFT,2017,collected,991c842390ff72200bac79978059e252af49912007cdfd1611f105fa47aa8e88,part2_lived_values/data/processed/text/msft_2017_000119312517310951.txt,bfbf2275d9ee321bed2d0da7b5c8378ae2de70915a7b72f1eb215cfd4f00b5e3,usable,53433,5726,
MSFT,2018,collected,e104e68cd83967b2d32c1f26055ea45dbdc529fd742a67c78af164083f902ed4,part2_lived_values/data/processed/text/msft_2018_000119312518300115.txt,e6cedbaacf478f4b5a151baa314a15cfed4406437ddb223fdaf862a74f622c71,usable,34642,5033,
MSFT,2019,collected,11e7350c1b8df922dd5878d02d4fa98c3a2c94f1679dacbd881389b012b74f7c,part2_lived_values/data/processed/text/msft_2019_000119312519268531.txt,ef7f6fdb40371ad12e432819aeb5105e893c7ef3c9f5761eb808f8df9bcec718,usable,37981,6273,
MSFT,2020,collected,6f859ac5e6058ec42c28944ffca83e8354a71967de6ea9f57df8fcae1f66f6e5,part2_lived_values/data/processed/text/msft_2020_000119312520272025.txt,94705b6b7ae19742fe7228e66c90b9e4d813ac64605c394bd6c30dfcfc0af8b6,usable,40662,6740,
MSFT,2021,collected,da897e816ac778729d8e1a185dbceb5ccb0d6ec0f43a42f41d86ada679394980,part2_lived_values/data/processed/text/msft_2021_000119312521298757.txt,98e3eab6694be8169df7f71cc889543d32ede597737c20392ed31873a8ef62ae,usable,54106,7655,
MSFT,2022,collected,12aa0dd9ac78f7d2360939baaf4aee703d443ca5d8c6f4b037afc0546efe7305,part2_lived_values/data/processed/text/msft_2022_000119312522270484.txt,bdc82b4cc3a3d9ed337e169cf78f26c6a7f8e303937972b367c30d280a412a39,usable,47410,7111,
MSFT,2023,collected,89da0abcc799f9dc8ee400456fdbc260a7f803f472767e77f26df3fc619ec321,part2_lived_values/data/processed/text/msft_2023_000119312523259247.txt,e91933c2e1a34efc1308ecb1c4ba7d99225c57a7f8c6ce65027b9fd7e54be0db,usable,51784,6398,
MSFT,2024,collected,27e39040c32334fd3eb1c0167efbd3a8dc1ca2a819d2d62197950fd54d48b44c,part2_lived_values/data/processed/text/msft_2024_000119312524242883.txt,133336a516a54fb018403d15da8b68a05d040bab984370bd9527cf27780053de,usable,52116,6676,
AAPL,2016,collected,f512612b5b4588c0f79d2ea674b1c1e13bfc52b4e3782384e88246ad74455b80,part2_lived_values/data/processed/text/aapl_2016_000119312516422528.txt,f47a8650d7820ac0ebc20e40e3e961fb7dcba93495cdb872bff319b1e39c8ed4,usable,47270,4357,
AAPL,2017,collected,594be61268d2b5199f98f75224d8c5b7678fda2ff9ca30508ada7d190e46d1cc,part2_lived_values/data/processed/text/aapl_2017_000119312517003753.txt,3a2c643257710e31ca83aeb57cb2b639def5965da00505b60e62b561abfa1a16,usable,32600,3557,
AAPL,2018,missing,,,,,0,0,no_def14a_filing_for_calendar_year
AAPL,2019,collected,025da0382390c8c21c2a6c20a3ba50df914b14f2853c07e8bf11f84fcb833a6a,part2_lived_values/data/processed/text/aapl_2019_000119312519004664.txt,fe16f17ab54a3ad72d0e182f07f1a8652f80b86323329549be2a41d12608dc4e,usable,27762,2957,
AAPL,2020,collected,ece4d99fac5f7da0472a9a0aeb4eedb0c1c659188cc40b35a54c958d81498617,part2_lived_values/data/processed/text/aapl_2020_000119312520001450.txt,66718f6df5ae372e4a1ebdb15335f523e6222fd5c90535b8f70e9db1fb2be73d,usable,29248,3163,
AAPL,2021,collected,0c326207a58bf25c984d7236c340eeba386453517669a4ee4ef4b47787879380,part2_lived_values/data/processed/text/aapl_2021_000119312521001987.txt,8cba184b803455958373265e60f6c83b254c42bfca146944f0dc633b623a2708,usable,29616,3481,
AAPL,2022,collected,238aeb3f7126234e15525feb48c0bd59ec839136b095d37088f1268900ab7c0c,part2_lived_values/data/processed/text/aapl_2022_000119312522003583.txt,f4dcb85d8ec10283f6c778c95cb6fd6856319b21ce1c1ccb9e7e5d5563db36ec,usable,56948,5604,
AAPL,2023,collected,374715b1bdf1a18dd6b1f52ef94171bbef520adcc14378b2a64506cb2f0739cf,part2_lived_values/data/processed/text/aapl_2023_000130817923000019.txt,7cf39402dc027106cd293b75b543f9f43876402bc40c722912f8eaa36cdf9d74,usable,45454,4352,
AAPL,2024,collected,ea4f18f315d5a04507d6ce50390c7f10f857be99d1ea23b551de472760833778,part2_lived_values/data/processed/text/aapl_2024_000130817924000010.txt,8ce552ab4b0a33e6065ce906fa8ea04184782804b3afbecfe35bcaa4f005ed41,usable,46196,5167,
NVDA,2016,collected,e1155f1811462ea6c3e6c5774b62cd58dd14f6a818c1a793b21dc07e3c1d3d5e,part2_lived_values/data/processed/text/nvda_2016_000104581016000229.txt,74f7a62b7332feda193452643578ffc9af24b66d89c9c98494d471ceed5bf2d4,usable,68072,5771,
