discovery_source,ticker,year,domain,query_url,homepage_url,query_status,capture_count,selected_capture_timestamp,selected_original_url,selected_replay_url,fetched,discovered_link_count,candidate_urls,error
,AMZN,2018,amazon.com,,http://amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2018,aboutamazon.com,,http://www.aboutamazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,aboutamazon.com,,http://aboutamazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,aboutamazon.com,,https://www.aboutamazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,aboutamazon.com,,https://aboutamazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2018,amazon.com,,http://www.amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,amazon.com,,https://amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,aboutamazon.com,,http://www.aboutamazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,amazon.com,,https://www.amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,amazon.com,,http://amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AMZN,2019,amazon.com,,http://www.amazon.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AVGO,2016,broadcom.com,,https://broadcom.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AVGO,2016,broadcom.com,,https://www.broadcom.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AVGO,2016,broadcom.com,,http://broadcom.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AVGO,2016,broadcom.com,,http://www.broadcom.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2016,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2016,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2016,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2016,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2017,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2017,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2017,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2017,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2018,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2018,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2018,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2018,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2019,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2019,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2019,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2019,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2020,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2020,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2020,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2020,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2021,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2021,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2022,americanexpress.com,,https://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2021,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2021,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2022,americanexpress.com,,http://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,BMY,2016,bms.com,,https://bms.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2022,americanexpress.com,,https://www.americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,AXP,2022,americanexpress.com,,http://americanexpress.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,BMY,2016,bms.com,,https://www.bms.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,BMY,2016,bms.com,,http://www.bms.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,BMY,2016,bms.com,,http://bms.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2016,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2016,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2016,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2016,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2017,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2017,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2017,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2018,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2017,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2018,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2019,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2018,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2018,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2019,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2019,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2020,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2019,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2020,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2020,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2021,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2020,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2021,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2021,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2021,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2022,citigroup.com,,https://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2022,citigroup.com,,https://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2022,citigroup.com,,http://citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,C,2022,citigroup.com,,http://www.citigroup.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,COP,2016,conocophillips.com,,https://conocophillips.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,COP,2016,conocophillips.com,,https://www.conocophillips.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2016,salesforce.com,,https://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,COP,2016,conocophillips.com,,http://www.conocophillips.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,COP,2016,conocophillips.com,,http://conocophillips.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2016,salesforce.com,,https://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2017,salesforce.com,,https://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2016,salesforce.com,,http://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2016,salesforce.com,,http://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2017,salesforce.com,,https://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2017,salesforce.com,,http://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2018,salesforce.com,,https://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2017,salesforce.com,,http://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2018,salesforce.com,,https://www.salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
,CRM,2018,salesforce.com,,http://salesforce.com/,failed,0,,,,False,0,,ConnectError: [Errno 61] Connection refused
