ticker,company_name,sector,prior_year,year,doc_id_prior,doc_id_current,cosine_similarity,semantic_distance
MRK,Merck,Healthcare,2021,2022,MRK-2021,MRK-2022,0.9413985,0.0586015
ABBV,AbbVie,Healthcare,2020,2021,ABBV-2020,ABBV-2021,0.94197065,0.05802935
SLB,SLB (Schlumberger),Energy,2023,2024,SLB-2023,SLB-2024,0.9421829,0.0578171
C,Citigroup,Financials,2021,2022,C-2021,C-2022,0.94256413,0.05743587
OXY,Occidental Petroleum,Energy,2019,2020,OXY-2019,OXY-2020,0.94442749,0.05557251
CRM,Salesforce,Technology,2022,2023,CRM-2022,CRM-2023,0.94451523,0.05548477
WFC,Wells Fargo,Financials,2021,2022,WFC-2021,WFC-2022,0.94536459,0.05463541
ABBV,AbbVie,Healthcare,2021,2022,ABBV-2021,ABBV-2022,0.94540453,0.05459547
LLY,Eli Lilly,Healthcare,2021,2022,LLY-2021,LLY-2022,0.94631362,0.05368638
JNJ,Johnson & Johnson,Healthcare,2023,2024,JNJ-2023,JNJ-2024,0.94686586,0.05313414
INTC,Intel,Technology,2021,2022,INTC-2021,INTC-2022,0.94694227,0.05305773
AVGO,Broadcom,Technology,2023,2024,AVGO-2023,AVGO-2024,0.94738692,0.05261308
CRM,Salesforce,Technology,2021,2022,CRM-2021,CRM-2022,0.94756949,0.05243051
PFE,Pfizer,Healthcare,2023,2024,PFE-2023,PFE-2024,0.94764602,0.05235398
TSLA,Tesla,Consumer Discretionary,2016,2017,TSLA-2016,TSLA-2017,0.94773495,0.05226505
EOG,EOG Resources,Energy,2022,2023,EOG-2022,EOG-2023,0.94779974,0.05220026
NVDA,NVIDIA,Technology,2022,2023,NVDA-2022,NVDA-2023,0.94937384,0.05062616
HAL,Halliburton,Energy,2021,2022,HAL-2021,HAL-2022,0.94945335,0.05054665
AXP,American Express,Financials,2021,2022,AXP-2021,AXP-2022,0.94988656,0.05011344
IBM,IBM,Technology,2021,2022,IBM-2021,IBM-2022,0.95053005,0.04946995
INTC,Intel,Technology,2022,2023,INTC-2022,INTC-2023,0.95122254,0.04877746
MDT,Medtronic,Healthcare,2019,2020,MDT-2019,MDT-2020,0.95136166,0.04863834
BAC,Bank of America,Financials,2021,2022,BAC-2021,BAC-2022,0.95254767,0.04745233
AAPL,Apple,Technology,2023,2024,AAPL-2023,AAPL-2024,0.95267206,0.04732794
AMZN,Amazon,Consumer Discretionary,2021,2022,AMZN-2021,AMZN-2022,0.95303977,0.04696023
COP,ConocoPhillips,Energy,2022,2023,COP-2022,COP-2023,0.95316285,0.04683715
MDT,Medtronic,Healthcare,2021,2022,MDT-2021,MDT-2022,0.95328867,0.04671133
BMY,Bristol-Myers Squibb,Healthcare,2019,2020,BMY-2019,BMY-2020,0.95339698,0.04660302
IBM,IBM,Technology,2022,2023,IBM-2022,IBM-2023,0.95368361,0.04631639
MSFT,Microsoft,Technology,2021,2022,MSFT-2021,MSFT-2022,0.95409131,0.04590869
CVX,Chevron,Energy,2021,2022,CVX-2021,CVX-2022,0.95417887,0.04582113
TMO,Thermo Fisher Scientific,Healthcare,2021,2022,TMO-2021,TMO-2022,0.95480925,0.04519075
TSLA,Tesla,Consumer Discretionary,2018,2019,TSLA-2018,TSLA-2019,0.95493102,0.04506898
AAPL,Apple,Technology,2017,2019,AAPL-2017,AAPL-2019,0.95501095,0.04498905
NKE,Nike,Consumer Discretionary,2018,2019,NKE-2018,NKE-2019,0.95631051,0.04368949
ABBV,AbbVie,Healthcare,2022,2023,ABBV-2022,ABBV-2023,0.95659328,0.04340672
TSLA,Tesla,Consumer Discretionary,2021,2022,TSLA-2021,TSLA-2022,0.95683062,0.04316938
