doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
NVDA-2024,NVDA,NVIDIA,Technology,2024,0001045810-24-000104,9714a36d4c690af4f3fc3b67f4dd474471558f026aa933ef679d29ba33f2d019,nmf_topic_7,0.20604583,0.1192141,0.0,0.0,0.00747548,0.0,0.0,0.20604583,0.0
GOOGL-2016,GOOGL,Alphabet,Technology,2016,0001308179-16-000384,9dca6067ab2c98424e23b11922f59f85df13155cf8c29b13db55987fe648d56f,nmf_topic_3,0.2154946,0.00171905,0.01485974,0.2154946,0.0,0.0,0.0,0.01213391,0.0
GOOGL-2017,GOOGL,Alphabet,Technology,2017,0001308179-17-000170,b711b04771dd0513dbfda26da9c40f1798c840b03d1d97874d90f354b33684a2,nmf_topic_3,0.21594173,0.0065179,0.01274259,0.21594173,0.0,0.0,0.0,0.0058623,0.00384496
GOOGL-2018,GOOGL,Alphabet,Technology,2018,0001308179-18-000222,0034c5c2fa4785df31da4df663cff61fcb186793532a38be6b68d012f807be2e,nmf_topic_3,0.20718636,0.00311604,0.01623091,0.20718636,0.0,0.0,0.01114789,0.00554397,0.00519386
GOOGL-2019,GOOGL,Alphabet,Technology,2019,0001308179-19-000205,0cb8fe47f4e7ec8bcd9ca9cf4799ecd7a187937ca18069a885bad70fe9b9030e,nmf_topic_3,0.13839635,0.0,0.13805415,0.13839635,0.0,0.0,0.0,0.0,0.0
GOOGL-2020,GOOGL,Alphabet,Technology,2020,0001308179-20-000203,b6902e074ab39d602258d4284478ea50c9daa64ff305c6a8c30b07dce1465f5f,nmf_topic_2,0.15020384,0.0,0.15020384,0.12361897,0.0,0.0,0.0,0.0,0.0
GOOGL-2021,GOOGL,Alphabet,Technology,2021,0001308179-21-000256,726fd36c550229b1f047c022d5afa0c60d28b6faa031c6ec274d4748585c6889,nmf_topic_2,0.16909838,0.0,0.16909838,0.11404784,0.0,0.0,0.0,0.0,0.0
GOOGL-2022,GOOGL,Alphabet,Technology,2022,0001308179-22-000262,87f7a7f4de06c7a9dd5677362bc30a53b5d5c45866c3246757c2d5058a2cd6e0,nmf_topic_3,0.12478436,0.0,0.09834828,0.12478436,0.03188584,0.0,0.0,0.02178252,0.0
GOOGL-2023,GOOGL,Alphabet,Technology,2023,0001308179-23-000736,db18e70362414fce4e99cf2546434a9b96fa4972ff85e55cab268eaa0ddb4036,nmf_topic_2,0.10999015,0.0,0.10999015,0.10178921,0.04196217,0.0,0.0,0.03502661,0.0
GOOGL-2024,GOOGL,Alphabet,Technology,2024,0001308179-24-000612,4220a1488416f44d612295dcbffee5dbac3cea3d1f6c1da35c4b491380a4e1a2,nmf_topic_3,0.11174842,0.0,0.05980176,0.11174842,0.03647069,0.0,0.0,0.09334879,0.0
META-2016,META,Meta Platforms,Technology,2016,0001326801-16-000074,d69e2660d7e355ede97fbff96ee64f183fef4ff3d31518e7575628a276946be2,nmf_topic_3,0.20572114,0.03716837,0.0,0.20572114,0.0,0.0,0.00908375,0.0,0.0
META-2017,META,Meta Platforms,Technology,2017,0001326801-17-000016,3bfe365b83e67fa1012891acc6dd2fb1738ea0f8918fa60fa7ca9783d21d49a5,nmf_topic_3,0.23937302,0.0,0.0,0.23937302,0.0,0.00544616,0.01908078,0.0,0.0
META-2018,META,Meta Platforms,Technology,2018,0001326801-18-000022,d17a4a53fb26820ad2051bfe64a876f2d948587a91a3470cae5cfe2e50df61dd,nmf_topic_3,0.2506238,0.0,0.0,0.2506238,0.0,0.00117956,0.01628209,0.0,0.0
META-2019,META,Meta Platforms,Technology,2019,0001326801-19-000025,96f4686ea22037d6501cf576050c5bbf7269fe746ecd5e46cbd2fe8babe9669b,nmf_topic_3,0.24348846,0.0,0.0,0.24348846,0.0,0.0036842,0.01819234,0.0,0.0
META-2020,META,Meta Platforms,Technology,2020,0001326801-20-000037,545bd651021b1e29b31348aada7e451007d03f409f78cfefbc236e3ac0e11350,nmf_topic_3,0.24283258,0.0,0.0011355,0.24283258,0.01264876,0.0,0.0059871,0.00275748,0.0
META-2021,META,Meta Platforms,Technology,2021,0001326801-21-000022,1465bf75f306ab723a1482ffaf59b60f898adcbb19aaa2f5f76e521634233063,nmf_topic_2,0.19218383,0.0,0.19218383,0.05149427,0.01081111,0.00741343,0.0,0.00541715,0.00042672
META-2022,META,Meta Platforms,Technology,2022,0001326801-22-000043,1afe3a6bbc6f9b563058cf60da978e7e1efd949e90e179fb8273640d9db547ab,nmf_topic_2,0.12340084,0.00533385,0.12340084,0.03840197,0.0933922,0.00838497,0.00226808,0.0,0.0
META-2023,META,Meta Platforms,Technology,2023,0001326801-23-000050,65fe988d29592e5726020a6d19c7793d765ae0861b6bd0a5e34f8880c58d6df7,nmf_topic_4,0.12939992,0.0,0.08015488,0.03862515,0.12939992,0.01554302,0.0,0.02703554,0.0
META-2024,META,Meta Platforms,Technology,2024,0001326801-24-000034,da2b1486e34cb0e034dc441c76d6200518c50859f4126d82cfe943ef52f54d09,nmf_topic_2,0.10783786,0.00034498,0.10783786,0.00662804,0.10357441,0.0004053,0.0,0.05052688,0.0
AVGO-2019,AVGO,Broadcom,Technology,2019,0001193125-19-043540,53ccd82dc1dcf775a976e67409062b50363f83a97bbd7bab4a25531b689e4390,nmf_topic_1,0.16435701,0.16435701,0.0,0.0627552,0.0,0.0,0.0,0.03392328,0.01743331
AVGO-2020,AVGO,Broadcom,Technology,2020,0001730168-20-000020,1fdc7ef840032f90542c6c09169532708767af072c485318c2edab7fddf3796e,nmf_topic_1,0.14590585,0.14590585,0.0,0.08100503,0.01089732,0.0,0.0103323,0.02900041,0.01616087
