doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
UNH-2019,UNH-2020,UNH,UNH,2019,2020,Healthcare,Healthcare,True,True,0.99722326
C-2018,C-2019,C,C,2018,2019,Financials,Financials,True,True,0.99719352
META-2016,META-2019,META,META,2016,2019,Technology,Technology,True,True,0.9971891
XOM-2017,XOM-2018,XOM,XOM,2017,2018,Energy,Energy,True,True,0.99715018
LOW-2017,LOW-2019,LOW,LOW,2017,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.99713153
MSFT-2016,MSFT-2019,MSFT,MSFT,2016,2019,Technology,Technology,True,True,0.99706686
JPM-2016,JPM-2018,JPM,JPM,2016,2018,Financials,Financials,True,True,0.99702644
LOW-2019,LOW-2020,LOW,LOW,2019,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.99698609
MDT-2020,MDT-2021,MDT,MDT,2020,2021,Healthcare,Healthcare,True,True,0.99691737
BMY-2020,BMY-2021,BMY,BMY,2020,2021,Healthcare,Healthcare,True,True,0.996907
MCD-2018,MCD-2020,MCD,MCD,2018,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.99689841
LOW-2020,LOW-2021,LOW,LOW,2020,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99685973
AXP-2017,AXP-2018,AXP,AXP,2017,2018,Financials,Financials,True,True,0.99685496
VLO-2020,VLO-2021,VLO,VLO,2020,2021,Energy,Energy,True,True,0.99683791
MSFT-2016,MSFT-2018,MSFT,MSFT,2016,2018,Technology,Technology,True,True,0.99676156
LOW-2017,LOW-2020,LOW,LOW,2017,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.99668449
MCD-2017,MCD-2019,MCD,MCD,2017,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.99667907
CRM-2019,CRM-2020,CRM,CRM,2019,2020,Technology,Technology,True,True,0.99662769
PFE-2017,PFE-2020,PFE,PFE,2017,2020,Healthcare,Healthcare,True,True,0.99657172
BMY-2016,BMY-2017,BMY,BMY,2016,2017,Healthcare,Healthcare,True,True,0.99650753
PFE-2019,PFE-2020,PFE,PFE,2019,2020,Healthcare,Healthcare,True,True,0.99645734
ORCL-2017,ORCL-2021,ORCL,ORCL,2017,2021,Technology,Technology,True,True,0.99645019
INTC-2019,INTC-2020,INTC,INTC,2019,2020,Technology,Technology,True,True,0.9964273
PFE-2016,PFE-2020,PFE,PFE,2016,2020,Healthcare,Healthcare,True,True,0.99642062
GOOGL-2017,GOOGL-2020,GOOGL,GOOGL,2017,2020,Technology,Technology,True,True,0.99638343
META-2016,META-2021,META,META,2016,2021,Technology,Technology,True,True,0.99626684
PFE-2017,PFE-2018,PFE,PFE,2017,2018,Healthcare,Healthcare,True,True,0.99622893
ORCL-2017,ORCL-2018,ORCL,ORCL,2017,2018,Technology,Technology,True,True,0.99622166
HD-2020,HD-2021,HD,HD,2020,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99620986
CRM-2018,CRM-2019,CRM,CRM,2018,2019,Technology,Technology,True,True,0.99616432
LOW-2019,LOW-2021,LOW,LOW,2019,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.9961533
XOM-2017,XOM-2019,XOM,XOM,2017,2019,Energy,Energy,True,True,0.99615288
MRK-2017,MRK-2018,MRK,MRK,2017,2018,Healthcare,Healthcare,True,True,0.99611616
PFE-2018,PFE-2019,PFE,PFE,2018,2019,Healthcare,Healthcare,True,True,0.99609327
INTC-2018,INTC-2020,INTC,INTC,2018,2020,Technology,Technology,True,True,0.99607658
PFE-2016,PFE-2018,PFE,PFE,2016,2018,Healthcare,Healthcare,True,True,0.99604094
MRK-2016,MRK-2018,MRK,MRK,2016,2018,Healthcare,Healthcare,True,True,0.99599123
MS-2021,MS-2022,MS,MS,2021,2022,Financials,Financials,True,True,0.99593085
NVDA-2019,NVDA-2021,NVDA,NVDA,2019,2021,Technology,Technology,True,True,0.99587142
